competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
100 grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725
3 musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936
one dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086
one quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505
air heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465
almond joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546
baby ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547
boston baked beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824
candy corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963
caramel apple pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681
charleston chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037
chewey lemonhead fruit mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628
chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988
dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076
dum dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556
fruit chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924
fun dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505
gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348
haribo gold bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974
haribo happy cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958
haribo sour bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243
haribo twin snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772
hersheys kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454
hersheys krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481
hersheys milk chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501
hersheys special dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122
jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439
junior mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925
kit kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686
laffy taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557
lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056
lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392
peanut butter m&ms,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505
m&ms,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585
mike & ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716
milk duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072
milky way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556
milky way midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701
milky way simply caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334
mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754
mr good bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451
nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046
nestle butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641
nestle crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068
nik l nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341
now & later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468
payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597
peanut m&ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788
pixie sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336
pop rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511
red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522
reeses miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257
reeses peanut butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029
reeses pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499
reeses stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901
ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756
rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286
root beer barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691
runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144
sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722
skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514
skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695
nestle smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188
smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827
snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782
snickers crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251
sour patch kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998
sour patch tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947
starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628
strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991
sugar babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755
sugar daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995
super bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865
swedish fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111
tootsie pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651
tootsie roll juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897
tootsie roll midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748
tootsie roll snack bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503
trolli sour bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229
twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914
twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282
warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898
welchs fruit snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519
werthers original caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308
whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113
